"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891064","6.1.3","198.6","","","","1"
"2015","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891065","6.1.4","7.4","","","","1"
"2015","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891066","7.1.1","2298.6","","","","1"
"2015","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891067","7.1.2","1971.1","","","","1"
"2015","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891068","7.1.3","384.4","","","","1"
"2015","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891069","7.1.4","14.2","","","","1"
"2015","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891070","8.1.1","113.2","","","","1"
"2015","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891071","8.1.2","93.7","","","","1"
"2015","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891072","8.1.3","20.4","","","","1"
"2015","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891073","8.1.4","17.2","","","","1"
"2015","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891074","9.1.1","113.9","","","","1"
"2015","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891075","9.1.2","96.8","","","","1"
"2015","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891076","9.1.3","16.5","","","","1"
"2015","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891077","9.1.4","15.0","","","","1"
"2015","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891078","10.1.1","1169.1","","","","1"
"2015","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891079","10.1.2","1024.8","","","","1"
"2015","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891080","10.1.3","196.9","","","","1"
"2015","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891081","10.1.4","12.3","","","","1"
"2015","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891082","11.1.1","774.6","","","","1"
"2015","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891083","11.1.2","687.2","","","","1"
"2015","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891084","11.1.3","127.8","","","","1"
"2015","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891085","11.1.4","11.3","","","","1"
